date,Kidnapping/Abduction,"Sex Offenses, Forcible",Robbery,Assault Offenses,Arson,Extortion/Blackmail,Burglary/Breaking & Entering,Larceny/Theft Offenses,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud Offenses,Embezzlement,Stolen Property Offenses,Destruction/Damage/Vandalism of Property,Drug/Narcotic Offenses,"Sex Offenses, Nonforcible",Pornography/Obscene Material,Gambling Offenses,Prostitution Offenses,Bribery,Weapon Law Violations,Human Trafficking or Kidnapping/Abduction,Animal Cruelty,Homicide Offenses,Bad Checks,Curfew/Loitering/Vagrancy Violations,Disorderly Conduct,Driving Under the Influence,Drunkenness,"Family Offenses, Nonviolent",Liquor Law Violations,Peeping Tom,Runaway,Trespass of Real Property,All Other Offenses,Offense Count,week,month,year,mon_year,season,is_holiday,is_weekend,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
2010-01-31,0,2,29,20,0,0,48,151,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,Sunday,1,2010,Jan-2010,Winter,0,1,41.4,32.3,37.1,41.1,24.8,33.5,30.3,76.6,0.0,0,0.0,none,0.0,0.0,17.2,11.2,10.5,1023.4,77.9,8.3,178.0,15.6,7.0,07:11:58,17:58:17,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-01,0,1,26,24,0,0,71,214,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,Monday,2,2010,Feb-2010,Winter,0,0,48.4,38.5,44.0,45.8,33.6,40.3,40.3,87.0,0.011,100,16.67,rain,0.0,0.0,0.0,8.3,58.8,1018.7,79.9,3.7,86.5,7.4,4.0,07:11:23,17:59:08,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-02,0,1,26,22,0,0,76,182,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,342,Tuesday,2,2010,Feb-2010,Winter,0,0,57.2,48.2,51.8,57.2,43.3,50.3,47.3,84.8,0.002,100,8.33,rain,0.0,0.0,0.0,11.6,40.7,1019.1,92.4,6.1,85.7,7.3,3.0,07:10:47,17:59:59,0.62,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-03,0,2,24,23,0,0,80,194,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,352,Wednesday,2,2010,Feb-2010,Winter,0,0,53.6,48.1,50.5,53.6,40.6,48.1,45.6,83.7,0.092,100,33.33,rain,0.0,0.0,30.5,23.0,76.4,1016.3,74.4,6.7,51.4,4.5,2.0,07:10:10,18:00:50,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-04,0,0,20,14,0,0,44,174,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,288,Thursday,2,2010,Feb-2010,Winter,0,0,52.9,48.2,50.6,52.9,40.7,49.1,48.7,93.4,0.065,100,50.0,rain,0.0,0.0,42.4,25.8,69.0,1009.9,99.8,6.7,63.6,5.5,3.0,07:09:31,18:01:41,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-05,0,2,29,19,0,0,68,217,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,367,Friday,2,2010,Feb-2010,Winter,0,0,56.9,46.7,50.6,56.9,41.9,48.6,45.9,85.0,0.004,100,8.33,rain,0.0,0.0,23.0,12.2,308.1,1012.3,83.4,8.3,197.1,17.1,8.0,07:08:51,18:02:31,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-06,0,3,30,49,0,0,58,209,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,391,Saturday,2,2010,Feb-2010,Winter,0,1,62.6,45.2,52.5,62.6,39.9,50.6,39.6,64.4,0.0,0,0.0,none,0.0,0.0,17.2,11.4,341.7,1016.9,1.6,9.7,208.7,18.1,8.0,07:08:10,18:03:21,0.75,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-07,0,1,21,50,0,0,41,164,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,307,Sunday,2,2010,Feb-2010,Winter,0,1,51.2,41.1,47.0,51.2,34.8,43.3,40.1,77.1,0.0,0,0.0,none,0.0,0.0,23.0,16.4,88.9,1016.4,83.4,9.5,153.5,13.3,7.0,07:07:27,18:04:11,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-08,0,4,18,21,0,0,56,176,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,Monday,2,2010,Feb-2010,Winter,0,0,67.1,45.6,57.0,67.1,38.1,56.1,51.9,83.3,0.096,100,16.67,rain,0.0,0.0,33.7,21.4,127.4,1009.8,91.1,8.7,95.9,8.2,3.0,07:06:43,18:05:00,0.82,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-09,0,5,15,12,0,0,64,189,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,311,Tuesday,2,2010,Feb-2010,Winter,0,0,48.7,39.2,44.0,42.9,31.8,36.6,25.7,52.3,0.003,100,4.17,rain,0.0,0.0,36.6,21.3,343.3,1020.9,41.2,9.9,201.5,17.5,8.0,07:05:58,18:05:49,0.85,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-10,0,1,15,21,0,0,86,193,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,Wednesday,2,2010,Feb-2010,Winter,0,0,45.8,35.5,41.0,45.8,28.9,37.7,23.8,50.8,0.002,100,8.33,rain,0.0,0.0,19.5,14.4,39.9,1024.5,34.0,9.4,155.6,13.6,7.0,07:05:11,18:06:37,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-11,0,4,19,21,0,0,69,189,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,Thursday,2,2010,Feb-2010,Winter,0,0,43.9,35.9,40.7,39.8,26.0,33.6,37.2,87.6,0.178,100,75.0,rain,0.0,0.0,27.5,18.1,60.4,1015.2,93.7,5.0,53.8,4.7,2.0,07:04:23,18:07:26,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
2010-02-12,0,0,21,22,0,0,72,200,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,Friday,2,2010,Feb-2010,Winter,0,0,39.5,35.8,37.2,33.3,26.9,29.6,33.0,85.2,0.023,100,16.67,rain,0.0,0.0,24.2,17.3,342.8,1017.7,100.0,8.6,175.3,15.2,6.0,07:03:35,18:08:14,0.95,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
